highlight_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,ah_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,hg_tua_uuid,namespace,topic_name,case_number,highlight_count,start_pos,end_pos,target_text
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,166e3bfb-1add-424b-bee1-fbee0844d31d,Semantics2020_03,Language,1,2,164,198,a retelling of the 2005 CIA report
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,166e3bfb-1add-424b-bee1-fbee0844d31d,Semantics2020_03,Language,1,2,2472,2473,a
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,259,261,"\u201d."
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,527,530,"\u201d ."
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,1058,1060, .
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,1512,1515,", """
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,2484,2488,", "" "
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,6f8bdb03-8ec1-45cd-9246-06cd6dddef58,Semantics2020_03,Language,2,6,2762,2765," , "
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,a10bcb7f-6428-4321-b5e1-2321234c1fe1,Semantics2020_03,Language,3,2,341,348,COVID19
ec2f8acd-f57b-4033-94ba-7d454a30c1ec,https://pe.goodlylabs.org/project/Covid_Semantics1.0/task/2740,,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,3885,PYBOSSA,11,18,cefd4f95-8dd4-4e25-8571-c1b8a3a82c06,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-17 23:13:47.105956,2020-03-18 00:09:05.013510,3317.907554,a10bcb7f-6428-4321-b5e1-2321234c1fe1,Semantics2020_03,Language,3,2,871,879,COVID-19
