namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,destination,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q1,What type of article is this?,T1.Q1.A1,News report,5aff36a3-f8c5-4e24-b28f-6b1bc7527694,9abd64e4-4f78-47fd-9e40-035e8361de44,News report,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q3,What is the article's topic area? (check all that apply),T1.Q3.A2,World Events,b289907b-e23e-47f0-814e-068098e555b5,402cf02a-d19b-4921-ae44-a0af4671564a,World Events,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q3,What is the article's topic area? (check all that apply),T1.Q3.A5,Health,81470c96-ba06-44b1-b70e-10eeaea4093b,1b3511b6-e4c0-498f-b66f-12217a75a03c,Health,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q3,What is the article's topic area? (check all that apply),T1.Q3.A4,Science,4d5ac563-1ee0-4fb0-a6f9-7b397583c91d,05b74fc3-1db9-4757-82ba-da154d6f5fa3,Science,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q5,"Before carefully reading the article, would you have been inclined to agree or disagree with its point of view?",T1.Q5.A2,Somewhat Agree,bb46e280-15ad-4429-b29e-714e8577bf55,64a094d3-c694-4b29-b444-cea4f1548a79,Somewhat Agree,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q6,What kind of information does the article include?  (Check all that apply.),T1.Q6.A1,Arguments,7777bc23-3ddb-407f-b3cb-509cadc136ba,b3db5e81-edaa-448f-8f72-40200f79887f,Arguments,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q6,What kind of information does the article include?  (Check all that apply.),T1.Q6.A2,Proposed explanation(s),345578b2-f548-4542-bba9-dab2eadafe27,6a9ae745-7d61-4e4a-8a5d-ba3063078e07,Proposed explanation(s),0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q6,What kind of information does the article include?  (Check all that apply.),T1.Q6.A5,Scientific study or discovery,0f15553b-95da-4eec-84f7-6809f5205ff2,38d01c9a-ba04-43cc-85cb-9b87820664aa,Scientific study or discovery,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q7,"Given what you know about the world, how *credible* does the article seem to you, overall?",T1.Q7.A2,Fairly credible,bf9fadc4-259c-400e-acd4-55d1ad65fe3f,7e2d75d2-fa07-4b3a-a6c3-09e2894b8c32,Fairly credible,0,0,0,0,
Covid_Holisticv1.2,81f0137d4cfd132ce9019c58308d2675c4de86bac1dcadbf309af97c97d7cabe,a0398b30-583f-4809-9f4c-1dd499e79205,https://pe.goodlylabs.org/project/Covid_Holisiticv1.2/task/2928,,CovidArticles/Covid_article_for_PE_S&S&S.txt,100059,Covid_article_for_PE_S&S&S.txt,4b537e0ed21179a29ed28da28057d338e67330ae12123ccceba6724f35bd68a4,6794,PYBOSSA,9,1,1910e4f6-8d50-44b1-8815-1bf2b4f776ca,e0834165-64cc-41e5-994f-9be97a16ef93,2020-08-04 17:33:28.419191,2020-08-04 17:36:39.600244,191.181053,Holistic Evaluation of Article,T1.Q8,"Given what you know about the world, how *biased* does the article seem to you, overall?",T1.Q8.A4,Mildly biased,5a8ae4eb-c2df-4e58-b0c8-cd2d07204c11,cf75c867-65c7-444c-85ae-fe2b0f9e0ea0,Mildly biased,0,0,0,0,
